file,url,content
zheng.yang/ppl_description/5858d037a64c9800_0001.webp,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/5858d037a64c9800_0001.webp,
zheng.yang/ppl_description/5858d037a64c9800_001_哈利波特.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/5858d037a64c9800_001_%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9.txt,保留拍照主体人物，背景变成白色，人物更换｛哈利波特风格，绯红色魔法师服装和帽子｝，详情如下：图中三位身着哈利波特的绯红色魔法师服装和帽子。左侧的女士身穿绯红长袍搭配同色尖顶巫师帽；中间的男士身着深绯红法师长袍并佩戴尖顶巫师帽；右侧的男士则穿着宽松绯红魔法袍，头戴高尖巫师帽，三人皆手持魔杖，展现出统一的魔法师形象。
zheng.yang/ppl_description/5858d037a64c9800_001_埃及.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/5858d037a64c9800_001_%E5%9F%83%E5%8F%8A.txt,保留拍照主体人物，背景变成白色，人物更换｛古埃及装扮和头饰｝，详情如下：左侧的女士身穿修身的古埃及亚麻长裙，外搭短袖束腰外衣，头戴带有蓝色蝴蝶结装饰的假发，佩戴黄金项圈与垂坠耳环；中间的男士身着宽大的浅色亚麻连身长袍，腰间系带，脚穿传统凉鞋，头戴插有鸵鸟羽毛的头饰；右侧的男士同样穿着宽松的亚麻长袍，领口微开，头戴宽边头巾，颈挂简单的护身符项链。
zheng.yang/ppl_description/5858d037a64c9800_001_小黄人.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/5858d037a64c9800_001_%E5%B0%8F%E9%BB%84%E4%BA%BA.txt,保留拍照主体人物，背景变成白色，人物更换｛黄色上衣和蓝色的牛仔背带裤｝，详情如下：左侧的女士穿着黄色上衣搭配蓝色牛仔背带裤，中间的男士同样身着黄色上衣和蓝色牛仔背带裤，右侧的男士也身穿黄色上衣并配有蓝色牛仔背带裤。
zheng.yang/ppl_description/5858d037a64c9800_001_清宫.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/5858d037a64c9800_001_%E6%B8%85%E5%AE%AB.txt,保留拍照主体人物，背景变成白色，人物更换｛清宫服，皇室衣服和头饰，深色素色为主｝，详情如下：左侧女士身着深蓝色清宫短衫马甲，内搭素白交领中衣，外罩深色坎肩，下配墨绿色百褶裙裤，头戴简约素色发簪，神情端庄；中间男士身穿深灰色阿哥袍服，外罩黑色对襟箭袖，腰系深色玉带，脚蹬素色布鞋，头戴束发冠，神态沉稳；右侧男士身着深褐色皇室长袍马褂，内衬灰黑缎面衬衣，下配同色直筒裤，佩戴深色系挂饰替代原物，头梳整齐发髻，气度儒雅。
zheng.yang/ppl_description/589a8e57a5402000_0001.webp,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/589a8e57a5402000_0001.webp,
zheng.yang/ppl_description/589a8e57a5402000_001_哈利波特.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/589a8e57a5402000_001_%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9.txt,保留拍照主体人物，背景变成白色，人物更换｛哈利波特风格，绯红色魔法师服装和帽子｝，详情如下：左边的男士身着长款的绯红色魔法师法袍，内搭黑色领口设计，头上戴着同色系的宽檐巫师帽，脚蹬深色长靴；右边的男士同样穿着绯红色法师外套，下身搭配深灰色魔法束腰裤，头戴尖顶绯红帽，鼻梁上架着圆框眼镜。
zheng.yang/ppl_description/589a8e57a5402000_001_埃及.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/589a8e57a5402000_001_%E5%9F%83%E5%8F%8A.txt,保留拍照主体人物，背景变成白色，人物更换｛古埃及装扮和头饰｝，详情如下：左侧男子头戴高耸尼美斯头巾，身披饰有金乌什牌的白色亚麻宽袍，佩戴贝珠项圈与假胡须，脚穿皮凉鞋；右侧男子头戴红褐色长假发配头巾，身穿印有神祗图案的黑色仿古长衫，颈戴多层彩珠项链，脚踩浅色纹样凉鞋。
zheng.yang/ppl_description/589a8e57a5402000_001_小黄人.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/589a8e57a5402000_001_%E5%B0%8F%E9%BB%84%E4%BA%BA.txt,保留拍照主体人物，背景变成白色，人物更换｛黄色上衣和蓝色的牛仔背带裤｝，详情如下：左侧男子身着黄色上衣，下身穿着蓝色的牛仔背带裤；右侧男子身穿黄色上衣，搭配蓝色牛仔背带裤。
zheng.yang/ppl_description/589a8e57a5402000_001_清宫.txt,https://wifi-1251808348.cos.ap-beijing.myqcloud.com/zheng.yang/ppl_description/589a8e57a5402000_001_%E6%B8%85%E5%AE%AB.txt,保留拍照主体人物，背景变成白色，人物更换｛清宫服，皇室衣服和头饰，深色素色为主｝，详情如下：左侧男子身着深黑色清宫朝服，头戴黑色暖帽，内穿深色马甲，外罩宽袖长袍，下着深色马面裙样式裤装，脚蹬黑色厚底布靴。右侧男子穿着深青色皇室礼服，头戴黑色貂皮冠帽，内衬素色衣领，外披深色团龙补子官服，下身是深色长裤，整体服饰色调以黑、深褐为主，尽显清代宫廷庄重风格。
